FileNames;Group;Name;PlotColor
GSM2882384;control;control1;chocolate4
GSM2882385;mimic;mimic1;chocolate4
GSM2882386;inhib;inhib1;chocolate4
GSM2882387;control;control2;royalblue4
GSM2882388;mimic;mimic2;royalblue4
GSM2882389;inhib;inhib2;royalblue4
