FileNames;Group;Name;PlotColor
GSM2667438;GAtreated;GAt1;coral
GSM2667439;GAtreated;GAt2;coral
GSM2667440;GAcontrol;GAc1;chartreuse1
GSM2667441;GAcontrol;GAc2;chartreuse1
GSM2667442;azaCTreated;azaCT1;hotpink
GSM2667443;azaCTreated;azaCT2;hotpink
GSM2667444;azaCcontrol;azaCc1;royalblue1
GSM2667445;azaCcontrol;azaCc2;royalblue1
